NODE_NAME	CONCENTRATION
(APC':Slp1')||active'	0.894653733
(APC:Slp1)||active	0.886353044
Cdc13:Cdc2|Thr167_pho:Rum1	0.692614632
Rum1|pho	0.823097632
Rum1	0.729486548
Cdc13|ubi	0.258665898
(Cdc13:Cdc2|Thr167_pho)||active	0.518069104
Cdc13:Cdc2|Thr14_pho|Tyr15_pho|Thr167_pho	0.726050301
Cdc13:Cdc2|Thr14_pho|Tyr15_pho	0.542243421
Cdc13:Cdc2|Tyr15_pho	0.088092727
Cdc13:Cdc2	0.468943614
Cdc13	0.518863385
Plo1	0.886928403
Cdc25|pho|active	0.415825048
Wee1|pho	0.230049232
Wee1	0.646378149
Cdc2|Thr167_pho	0.824925337
Cdc25	0.128518345
M-Phase	0.882425015
Lamin|pho	0.01876147
Lamin|hm8	0.449188649
Cdc2	0.791098517
PP2A	0.047933604
CAK	0.427374819
